
	bg-ids	bg-at-olap-e-10	bg-arc-olap-e-10	bg-aux-olap-e-10	bg-cre-olap-e-10	bg-scer-olap-e-10	bg-ecol-olap-e-10	bg-mel-olap-e-10	bg-ath-olap-e-10
Cz07g02100.t1	x	x	x	x	x				x
Cz02g15090.t1	x								
Cz18g11080.t1	x	x		x	x	x			x
Cz08g28130.t1	x				x				
Cz02g12180.t1	x	x		x	x	x			x
Cz08g04130.t1	x			x	x	x			x
UNPLg00189.t1	x				x				
Cz05g11170.t1	x			x	x				x
Cz03g31210.t1	x								
Cz11g24180.t1	x		x	x	x				x
Cz15g21300.t1	x								
Cz06g00200.t1	x								
Cz12g09070.t1	x				x				
Cz04g03070.t1	x	x	x	x	x	x	x		x
Cz15g20030.t1	x			x	x	x			x
Cz05g01240.t1	x			x	x				x
Cz09g10070.t1	x								
Cz08g01190.t1	x								
Cz08g27140.t1	x			x	x				
Cz02g08020.t1	x								
Cz13g13150.t1	x				x				
Cz08g15300.t1	x								
Cz14g24170.t1	x	x	x	x	x	x	x	x	x
Cz07g22170.t1	x			x	x	x			
Cz11g26100.t1	x	x		x	x				x
Cz04g21260.t1	x				x				
Cz14g09130.t1	x		x	x	x				
Cz11g20020.t1	x	x		x	x	x			x
Cz14g23250.t1	x								
UNPLg00303.t1	x								
Cz06g16260.t1	x	x	x	x	x				x
Cz03g31170.t1	x								
Cz01g24010.t1	x			x	x				x
Cz04g01120.t1	x	x			x	x			x
Cz05g30060.t1	x	x		x	x	x	x	x	x
Cz11g10130.t1	x			x	x				x
Cz02g02080.t1	x								
Cz09g19020.t1	x			x	x				x
Cz08g27150.t1	x			x	x	x			x
Cz13g15210.t1	x								
Cz12g27090.t1	x			x	x	x	x		x
Cz12g11010.t1	x	x	x	x	x				x
Cz04g30160.t1	x								
Cz04g31070.t1	x								
Cz01g38010.t1	x				x				x
Cz09g08080.t1	x			x	x				
Cz10g24050.t1	x				x				
Cz03g16130.t1	x								
Cz01g46020.t1	x			x	x	x			x
Cz04g24170.t1	x			x	x				
Cz10g26120.t1	x				x		x		x
UNPLg00440.t1	x								
Cz03g15290.t1	x								
Cz07g03160.t1	x								
Cz06g05030.t1	x								
Cz10g02250.t1	x	x		x	x		x		x
Cz07g01160.t1	x				x				
Cz06g34100.t1	x			x	x				x
Cz14g23320.t1	x	x		x	x	x	x		x
Cz08g04120.t1	x			x	x	x			x
Cz04g13180.t1	x								
Cz07g02110.t1	x	x	x	x	x				x
Cz05g32280.t1	x				x				
Cz11g10120.t1	x								
Cz04g30100.t1	x	x		x	x				x
Cz12g12270.t1	x								
Cz07g12210.t1	x								
UNPLg00703.t1	x				x				
Cz03g12070.t1	x								
Cz05g32100.t1	x								
Cz16g07140.t1	x			x	x		x		x
Cz06g17230.t1	x			x	x	x			x
Cz01g28050.t1	x				x				x
Cz05g22150.t1	x								
Cz09g29180.t1	x								
Cz01g31110.t1	x	x			x				x
Cz17g14150.t1	x			x	x		x		x
Cz09g06150.t1	x				x				
Cz02g33030.t1	x	x		x	x				x
Cz13g08015.t1	x	x		x	x				x
Cz01g30070.t1	x	x		x	x	x			x
Cz19g05110.t1	x			x					
Cz12g08090.t1	x			x	x	x	x		x
Cz11g05190.t1	x								
Cz16g12010.t1	x			x	x				
Cz13g12100.t1	x				x				
Cz04g26200.t1	x								
Cz13g04150.t1	x								
Cz04g04160.t1	x			x	x				x
Cz14g13070.t1	x	x	x	x	x	x			x
Cz01g37100.t1	x				x				
Cz06g22160.t1	x			x	x				x
Cz02g04130.t1	x								
Cz01g41040.t1	x								
Cz11g03190.t1	x			x	x	x	x		
Cz10g10160.t1	x	x	x	x	x				x
Cz13g11170.t1	x			x	x	x			x
Cz09g01010.t1	x								
Cz08g17080.t1	x			x	x	x	x		x
Cz17g13100.t1	x	x	x	x	x				x
Cz08g01110.t1	x								
Cz08g19210.t1	x								
Cz11g26110.t1	x	x		x	x				x
Cz05g25180.t1	x			x	x		x		
Cz01g46130.t1	x								
Cz16g01110.t1	x				x				
Cz09g18310.t1	x	x		x	x				x
Cz06g15210.t1	x			x					
Cz04g32070.t1	x								
Cz08g29240.t1	x			x	x				x
Cz03g08220.t1	x			x	x	x			x
Cz09g12170.t1	x				x				
Cz06g12240.t1	x			x	x				x
Cz06g16060.t1	x								
Cz16g05120.t1	x								
Cz12g02260.t1	x								
UNPLg00190.t1	x				x				
Cz06g33110.t1	x								
Cz16g14150.t1	x	x	x	x	x				x
Cz13g00190.t1	x								
Cz16g14110.t1	x			x	x	x			x
Cz01g07200.t1	x								
Cz12g15050.t1	x				x				
Cz05g09090.t1	x	x	x	x	x	x			x
Cz01g11180.t1	x								
Cz06g28160.t1	x	x		x	x				x
Cz06g31230.t1	x								
Cz08g08170.t1	x								
Cz04g36060.t1	x								
Cz18g00170.t1	x			x	x				x
Cz17g17130.t1	x								
Cz09g07060.t1	x	x		x	x				x
Cz06g17220.t1	x								
Cz12g28210.t1	x								
Cz05g32090.t1	x								
Cz01g10020.t1	x			x	x				
Cz12g03020.t1	x								
Cz06g27080.t1	x						x		x
Cz16g01030.t1	x								
Cz03g10070.t1	x				x				x
Cz09g32070.t1	x	x	x	x	x				x
Cz08g13060.t1	x				x				x
Cz02g14030.t1	x	x		x	x				x
UNPLg00705.t1	x			x	x				x
Cz13g01160.t1	x								
Cz05g21230.t1	x	x		x	x	x			x
Cz14g10070.t1	x	x			x				x
Cz03g21010.t1	x								
Cz05g04150.t1	x	x		x	x	x			x
Cz02g27170.t1	x			x	x				x
Cz04g17300.t1	x		x	x	x				x
Cz07g22130.t1	x				x				
Cz11g04250.t1	x				x				
Cz10g28100.t1	x								
Cz01g46120.t1	x				x				
Cz06g05220.t1	x								
Cz07g08190.t1	x	x		x	x	x			x
Cz16g11010.t1	x	x		x	x				x
Cz09g22110.t1	x	x		x	x				x
Cz01g24030.t1	x								
Cz01g46080.t1	x				x				
Cz13g20040.t1	x			x					
Cz07g04220.t1	x			x	x	x	x		x
Cz05g28030.t1	x								
UNPLg00299.t1	x								x
Cz01g08110.t1	x				x				
Cz04g13260.t1	x								
Cz07g32070.t1	x			x	x	x			x
UNPLg00282.t1	x			x					x
Cz10g28160.t1	x								
UNPLg00650.t1	x								
Cz12g10190.t1	x								
Cz12g07220.t1	x				x				
Cz13g01110.t1	x	x		x					x
Cz12g12080.t1	x								
Cz09g01150.t1	x				x				
Cz01g00140.t1	x	x		x	x				
Cz11g05030.t1	x			x	x	x			x
Cz03g02250.t1	x				x				
Cz07g01170.t1	x								
Cz08g11160.t1	x	x	x	x	x				x
Cz12g20020.t1	x				x				
UNPLg00445.t1	x	x		x	x				x
Cz07g01040.t1	x	x		x	x				x
Cz19g02190.t1	x								
Cz04g34020.t1	x	x		x	x	x		x	x
Cz08g29250.t1	x			x	x				
Cz06g31280.t1	x	x		x	x				x
Cz12g25180.t1	x			x	x	x			x
Cz10g14320.t1	x				x				
Cz11g19120.t1	x								
Cz01g23030.t1	x	x	x	x	x				x
Cz10g06080.t1	x	x		x	x	x			x
Cz05g34170.t1	x			x	x				x
Cz18g04010.t1	x			x	x				x
Cz03g35060.t1	x	x		x	x		x	x	x
Cz04g21210.t1	x				x				
Cz10g19120.t1	x								
Cz08g32160.t1	x			x	x				
Cz08g20170.t1	x								
Cz08g22220.t1	x								
Cz01g31220.t1	x								
Cz03g21130.t1	x			x	x	x			x
Cz02g18040.t1	x	x	x	x	x				x
Cz02g14020.t1	x				x				
Cz04g12210.t1	x			x	x	x	x		x
Cz05g16190.t1	x				x				
Cz11g09340.t1	x								
Cz05g09280.t1	x				x				x
Cz06g36270.t1	x			x	x	x	x		x
Cz14g15070.t1	x	x	x	x	x				x
Cz08g08190.t1	x			x	x				x
Cz10g10070.t1	x	x		x	x		x	x	x
Cz11g03280.t1	x			x	x				
Cz02g17090.t1	x			x	x				x
Cz11g20190.t1	x								
Cz10g09190.t1	x	x		x	x	x			x
Cz04g31010.t1	x				x				x
Cz04g36140.t1	x	x	x	x	x				x
UNPLg00290.t1	x								
Cz01g20200.t1	x			x					x
Cz08g29120.t1	x								
Cz05g29160.t1	x			x	x	x			x
Cz14g14210.t1	x			x	x	x			x
Cz01g11210.t1	x			x	x				
Cz11g04220.t1	x								
Cz16g09270.t1	x								
Cz06g31130.t1	x	x		x	x				x
Cz10g11150.t1	x	x	x	x	x	x			x
Cz05g04190.t1	x	x		x	x	x			x
Cz08g25190.t1	x				x				
Cz10g15090.t1	x				x				
Cz13g13130.t1	x			x	x				
Cz18g10020.t1	x								
